
RUTA 1:
-34355.5930 ,-695.9084,	3063.3055;
-34107.9128	,-706.9378,	3065.0880 ;
-33015.0682	,-751.2161,	3107.7441;
-32698.4550 ,-793.3921,	3138.8242;
-31861.4443	,-883.0726,	3017.1164;
-30915.5280 ,-1004.5731,2849.0695;
-30011.8695	,-1114.3333,2690.5895;
-29108.2238	,-1219.5150,2545.7301;
-28157.3781	,-1319.6277,2379.8444;
-27961.2550 ,-1348.7154,2335.1966;
-27925.7990 ,-1359.9312,2303.5249;
-27756.8035	,-1386.1399,2306.2896;
-27401.9183	,-1420.1969,2336.0740 ;
-26532.4282	,-1419.6905,2484.2102;
-25969.6633	,-1472.7380,2570.6760 ;
-25269.9799	,-1579.0638,2665.2767;
-24480.8101	,-1656.5256,2784.1787;
-23968.5532	,-1676.1628,2843.9137;
-23780.4500 ,-1672.3307,2874.9353;
-22986.6433	,-1679.2308,3057.8301;
-22450.4115	,-1698.8869,3192.2967;
-21978.1127	,-1743.9725,3120.5633;
-21096.0188	,-1853.0188,2563.3607;
-20434.7171	,-1953.6133,2045.7455;
-19814.4709	,-1974.7641,1573.8547;
-19253.9726	,-2004.6169,1117.0024;
-18637.6297	,-2093.6405,690.1367;
-18202.1730 ,-2096.6041,355.9177;
-17804.8501	,-2153.6219,89.1779;
-17297.8668	,-2230.0045,-310.2665;
-16882.9300 ,-2294.0542,-620.7167;
-16456.8961	,-2354.1278,-938.2113;
-15768.9722	,-2460.0799,-1432.4634;
-15560.9872	,-2512.5771,-1589.3601;
-15297.9928	,-2537.2306,-1781.6185;
-15083.2131	,-2573.6750,-1953.8092;
-15000.7502	,-2587.9026,-2065.9145;
-14875.4883	,-2593.1512,-2226.3546;
-14838.2249	,-2630.7206,-2391.5948;
-14818.5677	,-2635.4943,-2560.1169;
-14840.7130 ,-2640.9454,-2665.9673;
-14935.4734	,-2675.0630,-2932.5014;
-15080.1997	,-2699.9842,-3134.7799;
-15362.5073	,-2715.7112,-3276.5922;
-15641.1328	,-2735.3540,-3319.4720; 
-15875.9706	,-2743.4007,-3254.8348;
-16033.3859	,-2757.7303,-3176.6445;
-16179.2895	,-2764.2966,-3054.5637;
-16647.8728	,-2818.8413,-2645.3676;
-16693.2450 ,-2870.0473,-2573.5165;
-16908.4707	,-2908.9808,-2347.0772;
-17135.5496	,-2923.2742,-2119.5098;
-17246.0033	,-2947.5021,-2022.3694;
-17265.2029	,-2958.6412,-2008.7091;
-17542.5711	,-3006.1680,-1674.6223;
-17925.9460 ,-3076.4802,-1259.3657;
-18643.4943	,-3187.9197,-578.4735;
-19306.6747	,-3213.5037,114.1726;
-19570.3396	,-3219.8678,390.1257;
-20186.7598	,-3340.1519,988.8511;
-20772.3943	,-3444.4512,1645.6078;
-21424.2666	,-3559.8075,-2297.2153;
-22167.7965	,-3683.0815,2986.3407;
-23137.2610 ,-3838.8415,3942.9331;
-23767.5997	,-3884.4112,4569.1200; 
-24054.2797	,-3950.1712,4882.5037;
-24183.2197	,-3968.7512,5006.6118;
-24312.1597	,-3987.3312,5130.7198;
-24640.7997	,-4013.7712,5281.7600; 
-25571.9646	,-4158.7512,5367.3681;
-26386.8368	,-4275.8101,5379.9205;
-27309.8717	,-4311.6673,5378.4545;
-28177.2555	,-4307.9632,5378.1555;
-30037.5528	,-4549.1573,5420.7796;
-33836.2425	,-5025.4992,5425.6854;
-34643.0253	,-5183.9192,6060.2886;
-34614.4014	,-5276.9152,6800.5776;
-34478.3505	,-5315.8812,6998.3271;
-34189.2736	,-5360.4672,7262.6521;
-33851.1477	,-5415.9312,7366.8440; 
-33332.9679	,-5482.3872,7388.4366;
-32907.1617	,-5525.4012,7386.4700; 
-32127.0457	,-5603.5319,7402.6265;
-31464.5278	,-5614.7849,7252.8060; 
-31147.3201	,-5630.3294,7143.4005;
-30787.1044	,-5684.0392,7044.2875;
-29887.2386	,-5574.2312,6903.2752;
